Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,268.100006,268.600006,267.980011,268.200012,265.935974,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,264.914673,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,264.775848,76751500
2017-12-21,267.739990,268.390015,267.299988,267.579987,265.321198,67032300
2017-12-22,267.600006,267.640015,266.899994,267.510010,265.251801,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,264.934479,45244400
2017-12-27,267.380005,267.730011,267.010010,267.320007,265.063416,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,265.608765,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,264.607269,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,266.501160,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,268.186829,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,269.317169,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,271.111938,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,271.607727,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,272.222473,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,271.806000,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,273.789093,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,275.573944,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,274.631958,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,277.249634,109354500
2018-01-18,279.480011,279.959991,278.579987,279.140015,276.783630,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,278.042908,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,280.303650,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,280.898590,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,280.789520,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,280.908508,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,284.160797,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,282.276825,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,279.381500,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,279.520325,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,279.203003,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,273.124786,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,261.702026,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,266.858124,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,265.410461,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,255.455215,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,259.292542,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,263.100098,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,263.754547,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,267.314240,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,270.725189,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,270.804504,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,269.108978,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,267.770325,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,268.117401,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,272.391022,92766400
2018-02-26,275.929993,278.010010,275.260010,277.899994,275.554108,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,272.113373,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,269.356842,121907800
2018-03-01,271.410004,273.170013,266.000000,267.700012,265.440216,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,266.808533,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,269.892303,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,270.576477,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,270.477325,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,271.786163,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,276.515900,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,276.168854,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,274.384033,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,272.976013,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,272.678558,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,272.974274,100343700
2018-03-19,273.350006,274.399994,268.619995,270.489990,269.280823,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,269.738800,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,269.221100,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,262.491333,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,256.896423,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,263.924866,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,259.435059,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,258.668457,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,261.973633,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,256.319031,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,259.604279,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,262.381805,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,264.452515,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,258.558990,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,259.833252,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,263.964691,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,262.580933,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,264.741211,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,263.964691,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,266.134949,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,268.982178,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,269.181305,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,267.687988,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,265.418152,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,265.378357,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,261.804413,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,262.451508,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,265.119507,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,265.368408,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,263.327576,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,263.795471,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,262.023438,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,261.446014,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,264.830811,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,265.726807,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,265.726807,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,268.295258,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,270.803986,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,271.630280,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,271.759705,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,269.888123,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,271.023010,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,270.794037,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,270.117065,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,272.147949,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,271.391327,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,272.138000,61021700
2018-05-24,272.910004,273.220001,270.779999,272.799988,271.580505,74295200
2018-05-25,272.149994,272.859985,271.579987,272.149994,270.933411,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,267.817383,114128800
2018-05-30,270.500000,273.109985,270.420013,272.609985,271.391327,69678400
2018-05-31,272.149994,272.489990,270.260010,270.940002,269.728821,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,272.376923,68905300
2018-06-04,274.529999,275.190002,274.260010,274.899994,273.671112,44165500
2018-06-05,275.049988,275.529999,274.179993,275.100006,273.870239,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,276.159943,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,276.130066,72969400
2018-06-08,276.850006,278.250000,276.660004,278.190002,276.946411,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,277.314758,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,277.673157,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,276.787109,79070600
2018-06-14,279.010010,279.329987,278.059998,278.730011,277.484009,77097600
2018-06-15,276.600006,277.510010,275.350006,277.130005,277.130005,120041600
2018-06-18,275.489990,276.700012,274.950012,276.559998,276.559998,52917600
2018-06-19,274.000000,275.750000,273.529999,275.500000,275.500000,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,275.970001,53785500
2018-06-21,275.959991,275.980011,273.679993,274.239990,274.239990,71061400
2018-06-22,275.660004,275.790009,274.489990,274.739990,274.739990,54898500
2018-06-25,273.440002,273.619995,269.100006,271.000000,271.000000,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,271.600006,68547400
2018-06-27,272.260010,273.869995,269.179993,269.350006,269.350006,105110700
2018-06-28,269.290009,271.750000,268.489990,270.890015,270.890015,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,271.279999,97592500
2018-07-02,269.510010,272.040009,269.239990,271.859985,271.859985,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,270.899994,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,273.109985,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,275.420013,66493700
2018-07-09,276.549988,277.959991,276.500000,277.899994,277.899994,50550400
2018-07-10,278.410004,279.010010,278.079987,278.899994,278.899994,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,276.859985,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,279.369995,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,279.589996,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,279.339996,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,280.470001,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,281.059998,44593500
2018-07-19,280.309998,280.739990,279.459991,280.000000,280.000000,61412100
2018-07-20,279.769989,280.480011,279.500000,279.679993,279.679993,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,280.200012,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,281.609985,68026900
2018-07-25,281.329987,284.369995,281.279999,284.010010,284.010010,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,283.339996,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,281.420013,76768700
2018-07-30,281.510010,281.690002,279.359985,279.950012,279.950012,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,281.329987,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,280.859985,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,282.390015,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,283.600006,53935400
2018-08-06,283.640015,284.989990,283.200012,284.640015,284.640015,39400900
2018-08-07,285.390015,286.010010,285.239990,285.579987,285.579987,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,285.459991,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,285.070007,35652400
2018-08-10,283.450012,284.059998,282.359985,283.160004,283.160004,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,282.100006,65686900
2018-08-14,282.920013,284.170013,282.480011,283.899994,283.899994,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,281.779999,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,284.059998,69967900
2018-08-17,283.829987,285.559998,283.369995,285.059998,285.059998,65618500
2018-08-20,285.570007,285.970001,285.059998,285.670013,285.670013,39807500
2018-08-21,286.250000,287.309998,285.709991,286.339996,286.339996,67272000
2018-08-22,285.880005,286.760010,285.579987,286.170013,286.170013,44993300
2018-08-23,285.970001,286.940002,285.429993,285.790009,285.790009,49204900
2018-08-24,286.440002,287.670013,286.380005,287.510010,287.510010,57487400
2018-08-27,288.859985,289.899994,288.679993,289.779999,289.779999,57072400
2018-08-28,290.299988,290.420013,289.399994,289.920013,289.920013,46943500
2018-08-29,290.160004,291.739990,289.890015,291.480011,291.480011,61485500
2018-08-30,290.940002,291.359985,289.630005,290.299988,290.299988,61229500
2018-08-31,289.839996,290.809998,289.290009,290.309998,290.309998,66140800
2018-09-04,289.839996,290.209991,288.679993,289.809998,289.809998,57594400
2018-09-05,289.410004,289.640015,287.890015,289.029999,289.029999,72452400
2018-09-06,289.149994,289.489990,287.000000,288.160004,288.160004,65909900
2018-09-07,286.980011,288.700012,286.709991,287.600006,287.600006,73484400
